group,names,scores,logfoldchanges,pvals,pvals_adj
VIC-transitional,CHEMBL2108709|COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,73.28546,5.849376,0.0,0.0
VIC-transitional,CHEMBL2095222|OCRIPLASMIN,63.271797,3.8888881,0.0,0.0
VIC-transitional,CHEMBL493982|VORAPAXAR,62.27837,2.2921245,0.0,0.0
VIC-transitional,CHEMBL2107386|VORAPAXAR SULFATE,62.27837,2.2921245,0.0,0.0
VIC-transitional,CHEMBL3889654|LAROTRECTINIB,58.554623,1.2725914,0.0,0.0
VIC-transitional,CHEMBL3989939|LAROTRECTINIB SULFATE,58.554623,1.2725914,0.0,0.0
VIC-transitional,CHEMBL4297852|CENEGERMIN,58.554623,1.2725914,0.0,0.0
VIC-transitional,CHEMBL625|THIABENDAZOLE,50.575737,0.94240344,0.0,0.0
VIC-transitional,CHEMBL1887891|DEXFENFLURAMINE HYDROCHLORIDE,49.619686,0.6441735,0.0,0.0
VIC-transitional,CHEMBL243712|AMISULPRIDE,49.58871,0.63921,0.0,0.0
VIC-transitional,CHEMBL2355333|ZIMELDINE HYDROCHLORIDE,49.538383,0.6380832,0.0,0.0
VIC-transitional,CHEMBL865|VALDECOXIB,49.06601,1.450569,0.0,0.0
VIC-transitional,CHEMBL1364551|MINAPRINE HYDROCHLORIDE,48.937016,0.72139055,0.0,0.0
VIC-transitional,CHEMBL278819|MINAPRINE,48.937016,0.72139055,0.0,0.0
VIC-transitional,CHEMBL1563|DAUNORUBICIN HYDROCHLORIDE,45.27663,0.8659756,0.0,0.0
VIC-transitional,CHEMBL359744|DOXORUBICIN HYDROCHLORIDE,45.176563,0.89619905,0.0,0.0
VIC-transitional,CHEMBL1200843|METHYLERGONOVINE MALEATE,44.957443,0.9098929,0.0,0.0
VIC-transitional,CHEMBL1375743|ZIPRASIDONE HYDROCHLORIDE,44.728153,1.1519791,0.0,0.0
VIC-transitional,CHEMBL189963|PALBOCICLIB,43.75431,0.45017356,0.0,0.0
VIC-transitional,CHEMBL3545057|ACETYLDIGITOXIN,43.38531,0.59701395,0.0,0.0
VIC-transitional,CHEMBL1614|DESLANOSIDE,43.37101,0.580812,0.0,0.0
VIC-transitional,CHEMBL118|CELECOXIB,43.244328,0.8756172,0.0,0.0
VIC-transitional,CHEMBL1201607|NATALIZUMAB,43.214085,0.9960854,0.0,0.0
VIC-transitional,CHEMBL3039545|LUSPATERCEPT,42.375504,0.8155285,0.0,0.0
VIC-transitional,CHEMBL527|PIROXICAM,42.1701,0.77894056,0.0,0.0
VIC-transitional,CHEMBL159|VINBLASTINE,41.807686,0.73092556,0.0,0.0
VIC-transitional,CHEMBL1743082|TRASTUZUMAB EMTANSINE,41.613697,0.7570576,0.0,0.0
VIC-transitional,CHEMBL1742994|BRENTUXIMAB VEDOTIN,41.523262,0.7530482,0.0,0.0
VIC-transitional,CHEMBL538943|VINORELBINE TARTRATE,41.483345,0.75265336,0.0,0.0
VIC-transitional,CHEMBL3545252|DOCETAXEL,41.483345,0.75265336,0.0,0.0
VIC-transitional,CHEMBL4298209|BELANTAMAB MAFODOTIN,41.478924,0.7522506,0.0,0.0
VIC-transitional,CHEMBL1201748|CABAZITAXEL,41.478607,0.7842206,0.0,0.0
