,Niche0,Niche1,Niche2,Niche3
B cell,0.9714285714285713,0.9857142857142855,0.9852994759048301,0.014285714285714285
Dendritic cell,0.9428571428571427,0.9428571428571427,0.5571428571428572,0.17142857142857143
Macrophage,0.9999999999999998,0.9999999999999998,0.014285714285714285,0.9428571428571427
Mast cell,0.9714285714285713,0.8285714285714285,0.6571428571428571,0.05714285714285714
Monocyte,0.9857142857142855,0.7571428571428571,0.17142857142857143,0.44285714285714284
NK,0.9857142857142855,0.9999999999999998,0.8285714285714285,0.014285714285714285
Neutrophil,0.9428571428571427,0.8999999999999999,0.5571428571428572,0.17142857142857143
Plasma cell,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.014285714285714285
Proliferating,0.9999999999999998,0.9999999999999998,0.24285714285714285,0.05714285714285714
T-CD4,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.014285714285714285
T-CD8,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.014285714285714285
T-gd,0.9999999999999998,0.9857142857142855,0.9857142857142855,0.014285714285714285
VEC-endocardial,0.5571428571428572,0.8999999999999999,0.8999999999999999,0.05714285714285714
VEC-vascular,0.9714285714285713,0.9999999999999998,0.8285714285714285,0.05714285714285714
VIC-FAP-osteogenic,0.05714285714285714,0.9999999999999998,0.014285714285714285,0.9999999999999998
VIC-IFN,0.44285714285714284,0.014285714285714285,0.9857142857142855,0.9428571428571427
VIC-contractile,0.014285714285714285,0.9999999999999998,0.9999999999999998,0.17142857142857143
VIC-neural-crest,0.9999999999999998,0.014285714285714285,0.9999999999999998,0.9999999999999998
VIC-quiescent,0.9428571428571427,0.014285714285714285,0.9857142857142855,0.17142857142857143
VIC-spongiosa,0.9857142857142855,0.014285714285714285,0.9999999999999998,0.9999999999999998
VIC-transitional,0.014285714285714285,0.9857142857142855,0.9714285714285713,0.9999999999999998
