,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BI5XO_A1_aaaajmod-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaabldgc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaacdpnm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aaadacee-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaaekjjd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaagbhjb-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaagmbki-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaaheagk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaamncop-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaaopnkj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabdcfam-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabepmfl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabhbcoo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aabhmlmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aabnamoj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabppcjm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aacechpb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aacfdcji-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aacgdopp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aackifjb-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-IFN
BI5XO_A1_aaclegjc-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aadedegi-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-SA
BI5XO_A1_aadehokm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aadeoddm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aadgmohk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aadnhbdg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaebpnno-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaecdgml-1,BI5XO_A1,bright,Niche2,Endothelial,VEC-endocardial,VEC-endocardial
BI5XO_A1_aaeebecf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaehalom-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aaehmghc-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aaendcil-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaenmkaa-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaeoahfm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaeoknkl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaeonjbg-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aafhmbkj-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,cycling,MP-cycling
BI5XO_A1_aafkkogg-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aafngfmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aagbkkhk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aagbndnp-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aagcehhk-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-mono,MP-mono-classical
BI5XO_A1_aagfgffj-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_aahadnpf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_aahbihic-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaheineo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaheinil-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
