id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	plasma|plasma	plasma|T-gd	plasma|T-CD4	plasma|T-CD8	plasma|B	plasma|NK	plasma|MP-neutrophil	plasma|VEC-vascular	plasma|mast	plasma|MP-DC	T-gd|plasma	T-gd|T-gd	T-gd|T-CD4	T-gd|T-CD8	T-gd|B	T-gd|NK	T-gd|MP-neutrophil	T-gd|VEC-vascular	T-gd|mast	T-gd|MP-DC	T-CD4|plasma	T-CD4|T-gd	T-CD4|T-CD4	T-CD4|T-CD8	T-CD4|B	T-CD4|NK	T-CD4|MP-neutrophil	T-CD4|VEC-vascular	T-CD4|mast	T-CD4|MP-DC	T-CD8|plasma	T-CD8|T-gd	T-CD8|T-CD4	T-CD8|T-CD8	T-CD8|B	T-CD8|NK	T-CD8|MP-neutrophil	T-CD8|VEC-vascular	T-CD8|mast	T-CD8|MP-DC	B|plasma	B|T-gd	B|T-CD4	B|T-CD8	B|B	B|NK	B|MP-neutrophil	B|VEC-vascular	B|mast	B|MP-DC	NK|plasma	NK|T-gd	NK|T-CD4	NK|T-CD8	NK|B	NK|NK	NK|MP-neutrophil	NK|VEC-vascular	NK|mast	NK|MP-DC	MP-neutrophil|plasma	MP-neutrophil|T-gd	MP-neutrophil|T-CD4	MP-neutrophil|T-CD8	MP-neutrophil|B	MP-neutrophil|NK	MP-neutrophil|MP-neutrophil	MP-neutrophil|VEC-vascular	MP-neutrophil|mast	MP-neutrophil|MP-DC	VEC-vascular|plasma	VEC-vascular|T-gd	VEC-vascular|T-CD4	VEC-vascular|T-CD8	VEC-vascular|B	VEC-vascular|NK	VEC-vascular|MP-neutrophil	VEC-vascular|VEC-vascular	VEC-vascular|mast	VEC-vascular|MP-DC	mast|plasma	mast|T-gd	mast|T-CD4	mast|T-CD8	mast|B	mast|NK	mast|MP-neutrophil	mast|VEC-vascular	mast|mast	mast|MP-DC	MP-DC|plasma	MP-DC|T-gd	MP-DC|T-CD4	MP-DC|T-CD8	MP-DC|B	MP-DC|NK	MP-DC|MP-neutrophil	MP-DC|VEC-vascular	MP-DC|mast	MP-DC|MP-DC	VIC-transitional|VIC-transitional	VIC-transitional|VIC-IFN	VIC-transitional|VIC-remodelling	VIC-transitional|VIC-quiescent	VIC-IFN|VIC-transitional	VIC-IFN|VIC-IFN	VIC-IFN|VIC-remodelling	VIC-IFN|VIC-quiescent	VIC-remodelling|VIC-transitional	VIC-remodelling|VIC-IFN	VIC-remodelling|VIC-remodelling	VIC-remodelling|VIC-quiescent	VIC-quiescent|VIC-transitional	VIC-quiescent|VIC-IFN	VIC-quiescent|VIC-remodelling	VIC-quiescent|VIC-quiescent	VIC-transitional|VIC-osteogenic	VIC-transitional|VEC-endocardial	VIC-IFN|VIC-osteogenic	VIC-IFN|VEC-endocardial	VIC-remodelling|VIC-osteogenic	VIC-remodelling|VEC-endocardial	VIC-osteogenic|VIC-transitional	VIC-osteogenic|VIC-IFN	VIC-osteogenic|VIC-remodelling	VIC-osteogenic|VIC-osteogenic	VIC-osteogenic|VEC-endocardial	VEC-endocardial|VIC-transitional	VEC-endocardial|VIC-IFN	VEC-endocardial|VIC-remodelling	VEC-endocardial|VIC-osteogenic	VEC-endocardial|VEC-endocardial	VIC-interstitial|VIC-interstitial	VIC-interstitial|VIC-quiescent	VIC-quiescent|VIC-interstitial	MP-macro|MP-macro	MP-macro|MP-mono	MP-macro|VIC-osteogenic	MP-macro|MP-DC	MP-mono|MP-macro	MP-mono|MP-mono	MP-mono|VIC-osteogenic	MP-mono|MP-DC	VIC-osteogenic|MP-macro	VIC-osteogenic|MP-mono	VIC-osteogenic|MP-DC	MP-DC|MP-macro	MP-DC|MP-mono	MP-DC|VIC-osteogenic	VIC-SMC|VIC-SMC	VIC-SMC|VEC-vascular	VIC-SMC|cycling	VEC-vascular|VIC-SMC	VEC-vascular|cycling	cycling|VIC-SMC	cycling|VEC-vascular	cycling|cycling
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	69.515	65.431	34.831	49.518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	69.515	65.431	34.831	49.518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.488	38.572	36.307	31.448	42.997	29.889	28.133	24.369	46.239	32.143	30.255	26.206	37.952	26.382	24.832	21.509	19.327	27.477	14.976	21.291	16.105	22.897	100.0	69.515	65.431	34.831	49.518	0.0	0.0	0.0	0.0	0.0	19.897	27.002	15.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.621	23.418	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.335	53.759	50.601	43.83	45.872	31.888	30.015	25.998	57.085	39.683	37.352	32.353	0.0	0.0	0.0	0.0	26.937	38.295	15.978	22.715	19.883	28.268	100.0	69.515	65.431	34.831	49.518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.553	0.0	0.0	0.0	0.0
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.963	61.843	58.21	50.42	100.0	69.515	65.431	56.675	96.139	66.83	62.905	54.487	88.792	61.723	58.098	50.323	30.987	44.053	34.831	49.518	33.486	47.606	69.774	48.503	45.654	24.303	34.551	0.0	0.0	0.0	0.0	0.0	35.957	48.797	37.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.991	73.912	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.933	27.76	26.129	22.632	54.361	37.789	35.569	30.809	78.853	54.814	51.594	44.69	32.29	22.447	21.128	18.301	13.909	19.774	18.935	26.919	27.465	39.047	75.854	52.73	49.633	26.421	37.562	0.0	0.0	0.0	0.0	0.0	21.761	29.532	13.485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.727	8.128	0.0	50.819	0.0	0.0	0.0	0.0
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.746	35.971	33.858	29.327	39.271	27.299	25.695	22.257	43.558	30.28	28.501	24.687	31.036	21.575	20.308	17.59	18.024	25.624	13.678	19.446	15.172	21.569	100.0	69.515	65.431	34.831	49.518	0.0	0.0	0.0	0.0	0.0	12.315	16.713	12.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.344	29.818	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.819	0.0	0.0	0.0	0.0
