Name,Classification,Area µm^2,CNN1: CNN1+ area µm^2,FAP: FAP+ area µm^2
B6BO0-1 Inner nodule 100 µm,Inner Nodule,2845441.2,8515.8604,72053
BIGDK-1 Inner nodule 100 µm,Inner Nodule,1179180.1,3655.8992,25336.9707
BIGDK-2 Inner nodule 100 µm,Inner Nodule,817133.6,818.6035,9497.3896
BIGDK-3 Inner nodule 100 µm,Inner Nodule,2073040.1,3600.2659,23505.0469
BIGDK-4 Inner nodule 100 µm,Inner Nodule,6064333.9,4927.5161,18549.7148
BIGDK-5 Inner nodule 100 µm,Inner Nodule,2045651.4,389.4327,18144.3867
BIYTC-1 Inner nodule 100 µm,Inner Nodule,48711,0,309.9567
BIYTC-2 Inner nodule 100 µm,Inner Nodule,9765250.9,123.1879,169268.125
BIYTC-3 Inner nodule 100 µm,Inner Nodule,3838624.8,67.5547,30018.1113
BIYTC-4 Inner nodule 100 µm,Inner Nodule,4746300.9,0,52505.8633
BR11G-3 Inner nodule 100 µm,Inner Nodule,11519807.8,23811.0293,62372.8164
BR11G-4 Inner nodule 100 µm,Inner Nodule,2816480,8400.6201,3226.7283
BRGO9-1 Inner nodule 100 µm,Inner Nodule,6645384.8,910.001,156758.5938
BRGO9-2 Inner nodule 100 µm,Inner Nodule,13355255.1,94838.7891,316457.8125
BRGO9-3 Inner nodule 100 µm,Inner Nodule,22616338.7,18176.1758,92482.3281
BRGO9-4 Inner nodule 100 µm,Inner Nodule,11775430.8,83.4499,0
BTNTF-2 Inner nodule 100 µm,Inner Nodule,277270,655.6776,12358.5283
BTNTF-3 Inner nodule 100 µm,Inner Nodule,1035903.2,945.7652,17909.9316
BX85M-1 Inner nodule 100 µm,Inner Nodule,771003.2,858.3416,15605.126
BX85M-3 Inner nodule 100 µm,Inner Nodule,1562697.4,1172.272,25301.207
BZX0D-1 Inner nodule 100 µm,Inner Nodule,6566349.6,22416.2246,73924.6641
BZX0D-2 Inner nodule 100 µm,Inner Nodule,3818889.2,10852.457,27466.9297
BZX0D-3 Inner nodule 100 µm,Inner Nodule,35896.9,0,0
B6BO0-1 Inner Rim 100 µm,Inner Rim,1451647.6,2197.5132,40846.7266
BIGDK-1 Inner Rim 100 µm,Inner Rim,979416.1,325.8519,66342.6484
BIGDK-2 Inner Rim 100 µm,Inner Rim,701516,993.4509,18811.9844
BIGDK-3 Inner Rim 100 µm,Inner Rim,1496704.5,3147.2522,36022.5273
BIGDK-4 Inner Rim 100 µm,Inner Rim,1565431.4,345.7209,9926.5605
BIGDK-5 Inner Rim 100 µm,Inner Rim,1414936.4,699.3894,26060.2031
BIYTC-1 Inner Rim 100 µm,Inner Rim,304361.8,35.7642,3449.2612
BIYTC-2 Inner Rim 100 µm,Inner Rim,2325956.7,329.8257,161407.9531
